"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","year","sex"
"1","Adelie","Torgersen",38.9,17.8,181,3625,"2007","female"
"2","Adelie","Torgersen",41.1,17.6,182,3200,"2007","female"
"3","Adelie","Torgersen",36.6,17.8,185,3700,"2007","female"
"4","Adelie","Torgersen",38.7,19,195,3450,"2007","female"
"5","Adelie","Torgersen",34.4,18.4,184,3325,"2007","female"
"6","Adelie","Biscoe",37.8,18.3,174,3400,"2007","female"
"7","Adelie","Biscoe",35.3,18.9,187,3800,"2007","female"
"8","Adelie","Biscoe",40.5,17.9,187,3200,"2007","female"
"9","Adelie","Biscoe",37.9,18.6,172,3150,"2007","female"
"10","Adelie","Dream",39.5,16.7,178,3250,"2007","female"
"11","Adelie","Dream",36.4,17,195,3325,"2007","female"
"12","Adelie","Dream",42.2,18.5,180,3550,"2007","female"
"13","Adelie","Dream",36.5,18,182,3150,"2007","female"
"14","Adelie","Dream",37,16.9,185,3000,"2007","female"
"15","Adelie","Dream",36,17.9,190,3450,"2007","female"
"16","Adelie","Biscoe",39.6,17.7,186,3500,"2008","female"
"17","Adelie","Biscoe",35,17.9,190,3450,"2008","female"
"18","Adelie","Biscoe",34.5,18.1,187,2900,"2008","female"
"19","Adelie","Biscoe",39,17.5,186,3550,"2008","female"
"20","Adelie","Biscoe",36.5,16.6,181,2850,"2008","female"
"21","Adelie","Biscoe",36.4,17.1,184,2850,"2008","female"
"22","Adelie","Biscoe",35.5,16.2,195,3350,"2008","female"
"23","Adelie","Torgersen",35.9,16.6,190,3050,"2008","female"
"24","Adelie","Torgersen",39.6,17.2,196,3550,"2008","female"
"25","Adelie","Torgersen",35.5,17.5,190,3700,"2008","female"
"26","Adelie","Torgersen",40.9,16.8,191,3700,"2008","female"
"27","Adelie","Torgersen",36.2,16.1,187,3550,"2008","female"
"28","Adelie","Torgersen",34.6,17.2,189,3200,"2008","female"
"29","Adelie","Torgersen",36.7,18.8,187,3800,"2008","female"
"30","Adelie","Dream",37.3,17.8,191,3350,"2008","female"
"31","Adelie","Dream",36.9,18.6,189,3500,"2008","female"
"32","Adelie","Dream",38.9,18.8,190,3600,"2008","female"
"33","Adelie","Dream",35.7,18,202,3550,"2008","female"
"34","Adelie","Dream",34,17.1,185,3400,"2008","female"
"35","Adelie","Dream",38.1,18.6,190,3700,"2008","female"
"36","Adelie","Dream",33.1,16.1,178,2900,"2008","female"
"37","Adelie","Biscoe",37.9,18.6,193,2925,"2009","female"
"38","Adelie","Biscoe",38.6,17.2,199,3750,"2009","female"
"39","Adelie","Biscoe",38.1,17,181,3175,"2009","female"
"40","Adelie","Biscoe",38.1,16.5,198,3825,"2009","female"
"41","Adelie","Biscoe",39.7,17.7,193,3200,"2009","female"
"42","Adelie","Torgersen",35.2,15.9,186,3050,"2009","female"
"43","Adelie","Torgersen",38.8,17.6,191,3275,"2009","female"
"44","Adelie","Torgersen",39,17.1,191,3050,"2009","female"
"45","Adelie","Torgersen",38.5,17.9,190,3325,"2009","female"
"46","Adelie","Dream",36.8,18.5,193,3500,"2009","female"
"47","Adelie","Dream",38.1,17.6,187,3425,"2009","female"
"48","Adelie","Dream",37,16.5,185,3400,"2009","female"
"49","Adelie","Dream",40.2,17.1,193,3400,"2009","female"
"50","Adelie","Dream",32.1,15.5,188,3050,"2009","female"
"51","Adelie","Dream",36.6,18.4,184,3475,"2009","female"
"52","Adelie","Dream",36,17.8,195,3450,"2009","female"
"53","Gentoo","Biscoe",46.1,13.2,211,4500,"2007","female"
"54","Gentoo","Biscoe",48.7,14.1,210,4450,"2007","female"
"55","Gentoo","Biscoe",46.5,13.5,210,4550,"2007","female"
"56","Gentoo","Biscoe",45.4,14.6,211,4800,"2007","female"
"57","Gentoo","Biscoe",43.3,13.4,209,4400,"2007","female"
"58","Gentoo","Biscoe",40.9,13.7,214,4650,"2007","female"
"59","Gentoo","Biscoe",45.8,14.6,210,4200,"2007","female"
"60","Gentoo","Biscoe",42,13.5,210,4150,"2007","female"
"61","Gentoo","Biscoe",46.2,14.5,209,4800,"2007","female"
"62","Gentoo","Biscoe",45.1,14.5,215,5000,"2007","female"
"63","Gentoo","Biscoe",42.9,13.1,215,5000,"2007","female"
"64","Gentoo","Biscoe",48.2,14.3,210,4600,"2007","female"
"65","Gentoo","Biscoe",45.1,14.5,207,5050,"2007","female"
"66","Gentoo","Biscoe",49.1,14.8,220,5150,"2008","female"
"67","Gentoo","Biscoe",42.6,13.7,213,4950,"2008","female"
"68","Gentoo","Biscoe",44,13.6,208,4350,"2008","female"
